potentialtype,probability,leadsource,modifiedtime_day_of_week,modifiedtime_date_no,modifiedtime_year_no,modifiedtime_month_no,modifiedtime_business_day,modifiedtime_AM_PM,modifiedtime_quarter_year,createdtime_day_of_week,createdtime_date_no,createdtime_year_no,createdtime_month_no,createdtime_business_day,createdtime_week_no_year,createdtime_day_of_year,createdtime_AM_PM,createdtime_quarter_year,gad_offline_pushdateisEmpty
7,0.6748971193415638,4,0.13991769547325103,10,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.14814814814814814,9,0.26337448559670784,0.09876543209876543,0.9876543209876543,11,36,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,5,0.21810699588477367,17,5,8,0.9794238683127572,0.1522633744855967,0.18930041152263374,0.24691358024691357,17,0.26337448559670784,0.09876543209876543,0.9876543209876543,11,38,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.26337448559670784,21,4,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.14814814814814814,22,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,43,0.18518518518518517,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,8,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,12,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.32510288065843623,12,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,5,0.26337448559670784,19,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.14814814814814814,30,5,10,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,8,0.21810699588477367,11,5,8,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.32510288065843623,12,0.20987654320987653,22,5,9,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.32510288065843623,8,0.20987654320987653,29,5,4,0.9794238683127572,0.1522633744855967,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,8,0.20987654320987653,20,6,11,0.9794238683127572,0.8477366255144033,0.3004115226337449,0.23045267489711935,30,0.26337448559670784,0.09876543209876543,0.9876543209876543,34,44,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,16,5,5,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.23045267489711935,14,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,51,0.8148148148148148,0.15637860082304528,0.9917695473251029
6,0.6748971193415638,5,0.13991769547325103,25,5,6,0.9794238683127572,0.8477366255144033,0.24279835390946503,0.23045267489711935,14,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,51,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,12,0.20987654320987653,16,5,5,0.9794238683127572,0.8477366255144033,0.18930041152263374,0.24691358024691357,24,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,52,0.8148148148148148,0.15637860082304528,0.9917695473251029
7,0.6748971193415638,7,0.00411522633744856,16,5,9,0.0205761316872428,0.1522633744855967,0.18930041152263374,0.24691358024691357,24,0.26337448559670784,0.09876543209876543,0.9876543209876543,26,52,0.8148148148148148,0.15637860082304528,0.9917695473251029
